SepalWidthCm,PetalWidthCm,Species
3.8,0.3,Iris-setosa
3.2,1.8,Iris-virginica
2.8,1.8,Iris-virginica
2.2,1.0,Iris-versicolor
2.7,1.4,Iris-versicolor
2.7,1.6,Iris-versicolor
3.3,0.2,Iris-setosa
3.0,1.7,Iris-versicolor
3.0,1.4,Iris-versicolor
3.1,0.1,Iris-setosa
3.0,1.5,Iris-versicolor
3.1,1.8,Iris-virginica
3.9,0.4,Iris-setosa
3.2,2.3,Iris-virginica
3.0,1.8,Iris-virginica
3.7,0.2,Iris-setosa
2.7,1.8,Iris-virginica
3.2,0.2,Iris-setosa
2.9,1.8,Iris-virginica
2.4,1.0,Iris-versicolor
4.4,0.4,Iris-setosa
3.0,1.6,Iris-virginica
3.0,2.1,Iris-virginica
2.7,1.9,Iris-virginica
2.5,1.1,Iris-versicolor
3.4,0.3,Iris-setosa
2.2,1.5,Iris-virginica
2.6,1.2,Iris-versicolor
3.4,2.3,Iris-virginica
3.0,1.8,Iris-virginica
2.8,1.3,Iris-versicolor
3.0,1.5,Iris-versicolor
3.3,2.1,Iris-virginica
2.6,1.0,Iris-versicolor
3.8,0.3,Iris-setosa
3.2,0.2,Iris-setosa
3.0,1.8,Iris-virginica
2.8,2.0,Iris-virginica
2.7,1.2,Iris-versicolor
2.3,1.0,Iris-versicolor
2.8,1.4,Iris-versicolor
3.1,1.5,Iris-versicolor
3.1,2.4,Iris-virginica
3.1,1.5,Iris-versicolor
2.9,1.3,Iris-versicolor
2.7,1.9,Iris-virginica
2.9,1.5,Iris-versicolor
3.0,2.3,Iris-virginica
3.0,0.2,Iris-setosa
2.5,1.9,Iris-virginica
2.9,1.3,Iris-versicolor
3.8,0.2,Iris-setosa
4.1,0.1,Iris-setosa
3.3,1.6,Iris-versicolor
2.3,0.3,Iris-setosa
2.4,1.1,Iris-versicolor
2.8,2.2,Iris-virginica
3.1,0.2,Iris-setosa
3.0,2.2,Iris-virginica
2.7,1.9,Iris-virginica
2.6,1.4,Iris-virginica
3.4,0.4,Iris-setosa
2.5,1.7,Iris-virginica
3.0,1.4,Iris-versicolor
3.2,1.5,Iris-versicolor
2.9,1.3,Iris-versicolor
2.7,1.0,Iris-versicolor
3.1,0.1,Iris-setosa
3.0,0.2,Iris-setosa
3.5,0.2,Iris-setosa
3.0,2.3,Iris-virginica
3.1,2.3,Iris-virginica
3.4,0.2,Iris-setosa
3.0,2.1,Iris-virginica
4.2,0.2,Iris-setosa
3.5,0.3,Iris-setosa
3.0,1.5,Iris-versicolor
3.2,2.3,Iris-virginica
3.4,0.4,Iris-setosa
3.4,0.2,Iris-setosa
3.5,0.2,Iris-setosa
2.5,1.8,Iris-virginica
3.0,1.2,Iris-versicolor
3.0,2.0,Iris-virginica
3.2,0.2,Iris-setosa
2.8,2.4,Iris-virginica
3.2,0.2,Iris-setosa
3.1,1.4,Iris-versicolor
3.4,0.2,Iris-setosa
3.2,0.2,Iris-setosa
2.4,1.0,Iris-versicolor
3.3,2.5,Iris-virginica
3.5,0.6,Iris-setosa
3.2,2.3,Iris-virginica
3.8,0.4,Iris-setosa
3.0,0.3,Iris-setosa
3.6,2.5,Iris-virginica
2.9,1.8,Iris-virginica
3.0,1.8,Iris-virginica
2.8,1.5,Iris-versicolor
3.7,0.4,Iris-setosa
3.3,2.5,Iris-virginica
3.2,1.4,Iris-versicolor
2.8,2.0,Iris-virginica
2.5,1.3,Iris-versicolor
