country,co2
Afghanistan,0.254
Angola,1.12
Albania,1.59
Andorra,6.12
United Arab Emirates,21.4
Argentina,4.41
Armenia,1.89
Antigua and Barbuda,5.88
Australia,16.9
Austria,7.75
Azerbaijan,3.7
Burundi,0.0467
Belgium,8.69
Benin,0.623
Burkina Faso,0.198
Bangladesh,0.531
Bulgaria,6.32
Bahrain,19.8
Bahamas,4.7
Bosnia and Herzegovina,6.53
Belarus,6.93
Belize,1.5
Bolivia,1.96
Brazil,2.18
Barbados,4.48
Brunei,18.5
Bhutan,1.61
Botswana,2.96
Central African Republic,0.0651
Canada,15.3
Switzerland,4.33
Chile,4.59
China,7.06
Cote d'Ivoire,0.335
Cameroon,0.323
"Congo, Dem. Rep.",0.0243
"Congo, Rep.",0.617
Colombia,1.96
Comoros,0.263
Cape Verde,1.16
Costa Rica,1.61
Cuba,2.53
Cyprus,6.3
Czech Republic,9.94
Germany,9.14
Djibouti,0.672
Dominica,2.55
Denmark,6.06
Dominican Republic,2.34
Algeria,3.69
Ecuador,2.46
Egypt,2.43
Eritrea,0.215
Spain,5.75
Estonia,14.8
Ethiopia,0.137
Finland,8.52
Fiji,2.41
France,5.2
"Micronesia, Fed. Sts.",1.34
Gabon,2.53
United Kingdom,5.65
Georgia,2.64
Ghana,0.615
Guinea,0.256
Gambia,0.268
Guinea-Bissau,0.181
Equatorial Guinea,4.35
Greece,7.03
Grenada,2.43
Guatemala,1.07
Guyana,3.12
"Hong Kong, China",5.86
Honduras,1.04
Croatia,4.48
Haiti,0.27
Hungary,5.14
Indonesia,2.3
India,1.96
Ireland,8.09
Iran,8.81
Iraq,5.32
Iceland,10.8
Israel,7.67
Italy,5.58
Jamaica,2.79
Jordan,2.42
Japan,9.14
Kazakhstan,17.6
Kenya,0.36
Kyrgyz Republic,1.6
Cambodia,0.64
Kiribati,0.601
St. Kitts and Nevis,4.62
South Korea,12.9
Kuwait,23.7
Lao,2.74
Lebanon,3.53
Liberia,0.324
Libya,8.09
St. Lucia,2.31
Liechtenstein,4.03
Sri Lanka,1.1
Lesotho,1.26
Lithuania,4.84
Luxembourg,15.9
Latvia,3.73
Morocco,1.84
Moldova,1.27
Madagascar,0.163
Maldives,2.96
Mexico,3.79
Marshall Islands,2.58
North Macedonia,3.49
Mali,0.187
Malta,3.61
Myanmar,0.491
Montenegro,3.2
Mongolia,8.88
Mozambique,0.281
Mauritania,0.605
Mauritius,3.83
Malawi,0.0762
Malaysia,8.08
Namibia,1.75
Niger,0.103
Nigeria,0.65
Nicaragua,0.862
Netherlands,9.48
Norway,8.31
Nepal,0.337
Nauru,4.71
New Zealand,7.34
Oman,13.9
Pakistan,1.05
Panama,2.62
Peru,1.74
Philippines,1.27
Palau,13.2
Papua New Guinea,0.911
Poland,9.07
North Korea,1.18
Portugal,4.97
Paraguay,1.07
Palestine,0.661
Qatar,38.0
Romania,3.8
Russia,11.7
Rwanda,0.0913
Saudi Arabia,18.4
Sudan,0.504
Senegal,0.739
Singapore,7.1
Solomon Islands,0.273
Sierra Leone,0.141
El Salvador,1.11
Somalia,0.0466
Serbia,5.17
South Sudan,0.171
Sao Tome and Principe,0.587
Suriname,3.1
Slovak Republic,6.61
Slovenia,6.95
Sweden,4.12
Eswatini,1.06
Seychelles,6.75
Syria,1.67
Chad,0.0656
Togo,0.434
Thailand,4.15
Tajikistan,0.603
Turkmenistan,13.7
Timor-Leste,0.412
Tonga,1.31
Trinidad and Tobago,31.3
Tunisia,2.73
Turkey,5.2
Tuvalu,1.01
Taiwan,11.6
Tanzania,0.222
Uganda,0.135
Ukraine,5.09
Uruguay,2.01
United States,16.6
Uzbekistan,2.81
St. Vincent and the Grenadines,2.03
Venezuela,4.81
Vietnam,2.16
Vanuatu,0.529
Samoa,1.32
Yemen,0.356
South Africa,8.1
Zambia,0.302
Zimbabwe,0.85
