vendor,shipments_2011,shipments_2012,shipments_2013,shipments_2014,shipments_2015,shipments_2016,shipments_2017,shipments_2018,shipments_2019,shipments_2020,shipments_2021
Apple,93.1,135.8,153.39999999999998,192.7,231.5,215.4,215.8,208.8,191.0,206.1,149.8
Samsung,94.2,218.8,316.4,318.1,320.9,311.4,317.7,292.2,295.8,266.70000000000005,203.3
Huawei,5.7,29.1,36.300000000000004,73.8,107.0,139.4,154.2,206.0,240.60000000000002,189.0,0.0
Xiaomi,0.0,0.0,11.5,57.6,71.0,52.1,92.7,119.0,125.6,147.8,146.0
OPPO,0.0,0.0,0.0,9.5,42.7,99.8,111.7,113.3,114.4,111.2,103.5
Vivo,0.0,0.0,0.0,0.0,38.1,77.2,87.6,101.1,53.4,80.0,99.8
Others,182.8,215.4,415.6,530.7,492.0,471.2,379.3,281.8,351.5,292.0,287.6
Nokia,40.9,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research In Motion,25.6,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTC,33.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lenovo,0.0,23.700000000000003,45.5,59.4,73.9,51.4,50.3,40.9,0.0,0.0,0.0
LG,0.0,26.3,34.4,59.2,59.7,55.2,55.7,39.5,0.0,0.0,0.0
Sony,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTE,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
